"TestName","Expected","Actual","Pass","Notes"
"A01 â€” Journal INSERT Valid","{""ok"":true,""error_code"":null}","ok=False error=VALIDATION_ERROR","FAIL","Expected ok=True, got ok=False"
"A02 â€” Journal QUERY by ID","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: JOURNAL_ID"
"A03 â€” Journal TAG Update","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: JOURNAL_ID"
"A04 â€” Project INSERT (seed)","{""ok"":true,""error_code"":null}","ok=False error=VALIDATION_ERROR","FAIL","Expected ok=True, got ok=False"
"A05 â€” Project TAG Add","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: PROJECT_ID"
"A06 â€” Project TAG Remove","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: PROJECT_ID"
"A07 â€” Project Extension Update (state_reason)","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: PROJECT_ID"
"A08 â€” Project Promote BLOCKED (seed not ready)","{""ok"":false,""error_code"":""PROMOTION_BLOCKED_SEED_NOT_READY""}","SKIPPED","SKIP","Unresolved: PROJECT_ID"
"A09 â€” Add Linked Journal to Project","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: PROJECT_ID"
"A10 â€” Project Promote ALLOWED (seed to sapling)","{""ok"":true,""error_code"":null}","SKIPPED","SKIP","Unresolved: PROJECT_ID"
"A11 â€” Snapshot INSERT Valid","{""ok"":true,""error_code"":null}","ok=False error=VALIDATION_ERROR","FAIL","Expected ok=True, got ok=False"
"A12 â€” Snapshot Extension Update BLOCKED (immutability)","{""ok"":false,""error_code"":""IMMUTABILITY_ERROR""}","SKIPPED","SKIP","Unresolved: SNAPSHOT_ID"
"A13 â€” Restart INSERT Valid","{""ok"":true,""error_code"":null}","ok=False error=VALIDATION_ERROR","FAIL","Expected ok=True, got ok=False"
"A14 â€” Restart Extension Update BLOCKED (immutability)","{""ok"":false,""error_code"":""IMMUTABILITY_ERROR""}","SKIPPED","SKIP","Unresolved: RESTART_ID"
"B01 â€” Fuzz: Stringified Extension (belt-and-suspenders recovery)","{""ok"":true,""error_code"":null}","ok=False error=VALIDATION_ERROR","FAIL","Expected ok=True, got ok=False"
"B02 â€” Fuzz: Tags as Comma String (normalizeTags recovery)","{""ok"":true,""error_code"":null}","ok=False error=VALIDATION_ERROR","FAIL","Expected ok=True, got ok=False"
"B03 â€” Fuzz: Unknown Extension Key (journal strict allowlist)","{""ok"":false,""error_code"":""JOURNAL_EXTENSION_INVALID""}","ok=False error=JOURNAL_EXTENSION_INVALID","PASS",""
