"TestName","Expected","Actual","Pass","Notes"
"D01 â€” T51 Create Project for Extension Tests","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D02 â€” T51 Update Project Summary (full-replace)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D03 â€” T51 Query Project After Summary Update (hydrate)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D04 â€” T51 Project Unknown Extension Field REJECTED","{""ok"":false,""error_code"":""MUTABILITY_ERROR""}","ok=False error=MUTABILITY_ERROR","PASS",""
"D05 â€” T51 Project lifecycle_stage via Update REJECTED (PROMOTE_ONLY)","{""ok"":false,""error_code"":""MUTABILITY_ERROR""}","ok=False error=MUTABILITY_ERROR","PASS",""
"D06 â€” T51 Create Journal for Extension Tests","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D07 â€” T51 Journal Extension Update BLOCKED","{""ok"":false,""error_code"":""JOURNAL_MUTABILITY_UNDECIDED""}","ok=False error=JOURNAL_MUTABILITY_UNDECIDED","PASS",""
"D08 â€” T51 Snapshot Extension Update BLOCKED (immutability)","{""ok"":false,""error_code"":""IMMUTABILITY_ERROR""}","ok=False error=IMMUTABILITY_ERROR","PASS",""
"D09 â€” T51 Project Full-Replace Set (baseline for clear test)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D10 â€” T51 Project Full-Replace Clear (send summary only, expect state_reason NULL)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D11 â€” T51 Query Project After Full-Replace (verify reset)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D12 â€” T51 Create Instruction Pack for Immutability Test","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"D13 â€” T51 Instruction Pack Extension Update BLOCKED (immutability)","{""ok"":false,""error_code"":""IMMUTABILITY_ERROR""}","SKIP","SKIP","Missing variables: D_IPACK_ID"
"VERIFY Project (D01)","type_invariants","ext=PSCustomObject; tags=Object[]; v=4","PASS","summary present: 'Full-replace test: state_reason should be null, op...'"
"VERIFY Journal (D06)","type_invariants","ext=PSCustomObject; tags=Object[]; v=1","PASS",""
