"TestName","Expected","Actual","Pass","Notes"
"G05 â€” T71 LEAF_B null to not_started","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G06 â€” T71 LEAF_B not_started to in_progress","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G07 â€” T71 LEAF_B in_progress to complete (BLOCKED â€” LEAF_A not complete)","{""ok"":false,""error_code"":""DEPENDENCY_INCOMPLETE""}","ok=False error=DEPENDENCY_INCOMPLETE","PASS",""
"G08 â€” T71 LEAF_A null to not_started","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G09 â€” T71 LEAF_A not_started to in_progress","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G10 â€” T71 LEAF_A in_progress to complete (no dependency on A)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G11 â€” T71 LEAF_B in_progress to complete (UNBLOCKED â€” LEAF_A now complete)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G12 â€” T71 Create LEAF_C (no dependencies)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G13 â€” T71 LEAF_C null to not_started","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G14 â€” T71 LEAF_C not_started to in_progress","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G15 â€” T71 LEAF_C in_progress to complete (no dependencies â€” bypass)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G16 â€” T71 Branch null to not_started (non-leaf setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G17 â€” T71 Branch not_started to in_progress (non-leaf setup)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"G18 â€” T71 Branch in_progress to complete (non-leaf â€” no dependency check)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
