"TestName","Expected","Actual","Pass","Notes"
"A01 â€” Journal INSERT Valid","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"A02 â€” Journal QUERY by ID","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"A03 â€” Journal TAG Update","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"A04 â€” Project INSERT (seed)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"A05 â€” Project TAG Add","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"A06 â€” Project TAG Remove","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"A07 â€” Project Extension Update (state_reason)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"A08 â€” Project Promote BLOCKED (seed not ready)","{""ok"":false,""error_code"":""PROMOTION_BLOCKED_SEED_NOT_READY""}","ok=False error=PROMOTION_BLOCKED_SEED_NOT_READY","PASS",""
"A09 â€” Add Linked Journal to Project","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"A10 â€” Project Promote ALLOWED (seed to sapling)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"A11 â€” Snapshot INSERT Valid","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"A12 â€” Snapshot Extension Update BLOCKED (immutability)","{""ok"":false,""error_code"":""IMMUTABILITY_ERROR""}","ok=False error=IMMUTABILITY_ERROR","PASS",""
"A13 â€” Restart INSERT Valid","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"A14 â€” Restart Extension Update BLOCKED (immutability)","{""ok"":false,""error_code"":""IMMUTABILITY_ERROR""}","ok=False error=IMMUTABILITY_ERROR","PASS",""
"B01 â€” Fuzz: Stringified Extension (belt-and-suspenders recovery)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"B02 â€” Fuzz: Tags as Comma String (normalizeTags recovery)","{""ok"":true,""error_code"":null}","ok=True error=none","PASS",""
"B03 â€” Fuzz: Unknown Extension Key (journal strict allowlist)","{""ok"":false,""error_code"":""JOURNAL_EXTENSION_INVALID""}","ok=False error=JOURNAL_EXTENSION_INVALID","PASS",""
"B04 â€” Fuzz: Missing Required Extension (snapshot without payload)","{""ok"":false,""error_code"":""VALIDATION_ERROR""}","ok=False error=VALIDATION_ERROR","PASS",""
"B05 â€” Fuzz: Unknown Gateway Action","{""ok"":false,""error_code"":""ACTION_NOT_ALLOWED""}","ok=False error=ACTION_NOT_ALLOWED","PASS",""
"B06 â€” Fuzz: Invalid UUID in Query","{""ok"":false,""error_code"":null}","ok=False error=VALIDATION_ERROR","PASS",""
"C01 â€” Promote: Invalid Transition Name","{""ok"":false,""error_code"":""LIFECYCLE_TRANSITION_NOT_ALLOWED""}","ok=False error=LIFECYCLE_TRANSITION_NOT_ALLOWED","PASS",""
"C02 â€” Promote: Missing Transition Field","{""ok"":false,""error_code"":""VALIDATION_ERROR""}","ok=False error=VALIDATION_ERROR","PASS",""
"C03 â€” Promote: Missing Reason Field","{""ok"":false,""error_code"":""VALIDATION_ERROR""}","ok=False error=VALIDATION_ERROR","PASS",""
"C04 â€” Promote: Lifecycle Mismatch (already sapling, request seed_to_sapling)","{""ok"":false,""error_code"":""LIFECYCLE_STATE_MISMATCH""}","ok=False error=LIFECYCLE_STATE_MISMATCH","PASS",""
"C05 â€” Promote: Non-promotable Type (journal)","{""ok"":false,""error_code"":null}","ok=False error=LIFECYCLE_STATE_UNKNOWN","PASS",""
