artifact_id,artifact_type,title,priority,lifecycle_status,execution_status,semantic_type_id,semantic_type,tags,parent_artifact_id,created_at,updated_at
ac1d6294-2bd7-4a9d-823e-827562b56e26,restart,Kernel Restart Record,3,,,e83c208f-77b0-4527-816a-c2837ea49445,execution-core,"[""restart""]",306e3258-d882-4ef4-8439-d76ea696a6f1,2025-12-30 20:53:12.755954+00,2026-03-08 12:31:31.48113+00
610e16d1-c5bb-468c-bd35-57eadf9f2e38,snapshot,Gateway v1 â Query Guards + TYPE_MISMATCH (KGB Pass),3,,,e83c208f-77b0-4527-816a-c2837ea49445,execution-core,"[""auto:gateway"", ""auto:kgb"", ""snapshot""]",8a8a5066-213b-4334-ae14-5f8437e3d677,2025-12-30 22:53:54.120984+00,2026-03-08 12:31:07.430802+00
d00d09d3-9492-4db0-93a4-1c9900b2aecc,forest,Work,5,,,,,"[""forest"", ""has-children"", ""p:backlog""]",,2025-12-31 11:20:09.449229+00,2026-01-31 16:55:21.411792+00
9635090f-1853-4617-b077-2c28cd483780,forest,Personal,5,,,,,"[""forest"", ""has-children"", ""p:backlog""]",,2025-12-31 11:20:09.449229+00,2026-01-31 16:55:21.411792+00
e8e5db75-724a-4d33-9694-5903a6e30e8f,forest,Qwrk,5,,,,,"[""forest"", ""has-children"", ""p:backlog""]",,2025-12-31 11:20:09.449229+00,2026-01-31 16:55:21.411792+00
f748b187-670a-4fbe-9f12-a181be14973d,forest,Business,5,,,,,"[""forest"", ""p:backlog""]",,2025-12-31 11:20:09.449229+00,2026-01-31 16:55:21.411792+00
84ccd9aa-c123-4747-968d-9262fa56ec65,thicket,Core Build Cycle,4,,,,,"[""has-children"", ""linked"", ""p:low"", ""thicket""]",,2025-12-31 11:20:09.449229+00,2026-03-07 13:16:05.681245+00
db428a32-1afa-4e6b-a649-347b0bffd46c,journal,Reclaiming the Land,3,,,bb195914-8540-4bec-8fb3-f96ff37f55ae,alignment,"[""alignment"", ""clarity"", ""journal"", ""old-bull"", ""qwrk"", ""restart""]",3499f109-bb4d-40eb-b5d8-0b985e995b13,2025-12-31 11:25:02.844813+00,2026-03-08 12:31:17.136852+00
668bd18f-4424-41e6-b2f9-393ecd2ec534,project,Qwrk Restart Alignment â Reclaiming the Land,4,sapling,,f65bd1a8-7720-4d7b-942c-ce8e2132b365,exploratory,"[""alignment"", ""for-q"", ""has-children"", ""kernel"", ""lc:sapling"", ""linked"", ""p:low"", ""project"", ""qwrk"", ""restart"", ""t72-verified""]",84ccd9aa-c123-4747-968d-9262fa56ec65,2025-12-31 11:25:02.844813+00,2026-03-03 20:59:48.266397+00
2f3c6a9e-5e0d-4595-b2bd-39150f3ec1a0,project,Automate Daily Build Snapshot (Hydrate + Store),4,sapling,,f65bd1a8-7720-4d7b-942c-ce8e2132b365,exploratory,"[""automation"", ""build-cycle"", ""daily"", ""for-q"", ""governance"", ""hydrate"", ""lc:sapling"", ""linked"", ""p:low"", ""project"", ""qxb"", ""snapshot""]",61e848ab-f960-42a3-a886-29b39f837b13,2025-12-31 22:15:56.154737+00,2026-03-03 20:59:48.266397+00
5bbfa805-0f42-4dce-983a-5a6526adb879,journal,Journal â The Creatorâs Posture Returns (Qwrk restored Joel to Joel),3,,,bb195914-8540-4bec-8fb3-f96ff37f55ae,alignment,"[""agency"", ""alignment"", ""bitty"", ""creator_posture"", ""daisy"", ""health_capacity"", ""journal"", ""old_bull"", ""qwrk"", ""reflection""]",3499f109-bb4d-40eb-b5d8-0b985e995b13,2025-12-31 23:17:26.359631+00,2026-03-08 12:31:17.136852+00
c3ad60e6-ab3b-4639-a6f3-55b6e466d0e5,project,Weekly Qwrk Progress Report â Draft + Approve + Send,3,sapling,,f65bd1a8-7720-4d7b-942c-ce8e2132b365,exploratory,"[""email"", ""lc:sapling"", ""linked"", ""narrative"", ""project"", ""qwrk"", ""sapling"", ""weekly-report""]",61e848ab-f960-42a3-a886-29b39f837b13,2025-12-31 23:45:47.255993+00,2026-03-03 20:59:48.266397+00
61e848ab-f960-42a3-a886-29b39f837b13,project,"Qwrk Narrative Engine (Tree) â Milestones, Weekly Reports, Capabilities, Demo Personas",2,tree,,f65bd1a8-7720-4d7b-942c-ce8e2132b365,exploratory,"[""capabilities"", ""demo"", ""governance"", ""has-children"", ""lc:tree"", ""linked"", ""milestone"", ""narrative"", ""p:high"", ""personas"", ""project"", ""qwrk"", ""tree"", ""weekly-report""]",84ccd9aa-c123-4747-968d-9262fa56ec65,2025-12-31 23:45:47.255993+00,2026-03-03 20:59:48.266397+00
73ce0815-914c-481e-bf84-da9cf83106cd,project,Demo Mode + qxb_artifact_demo (Future Kernel Extension),2,sapling,,e83c208f-77b0-4527-816a-c2837ea49445,execution-core,"[""demo"", ""lc:sapling"", ""linked"", ""p:high"", ""product"", ""project"", ""qwrk"", ""sandbox"", ""sapling""]",61e848ab-f960-42a3-a886-29b39f837b13,2025-12-31 23:45:47.255993+00,2026-03-07 13:03:14.294251+00
9eb5fcf4-ee24-4148-84eb-686bffc7c7b8,project,Personas + Pitches â âMeet Nelsonâ (Selectable Personas),4,sapling,,f65bd1a8-7720-4d7b-942c-ce8e2132b365,exploratory,"[""demo"", ""lc:sapling"", ""linked"", ""marketing"", ""p:low"", ""personas"", ""pitch"", ""project"", ""qwrk"", ""sapling""]",61e848ab-f960-42a3-a886-29b39f837b13,2025-12-31 23:45:47.255993+00,2026-03-03 20:59:48.266397+00
6963a0c4-2d29-4ca9-b8c3-86102194e751,project,Milestone System â Draft â Approved â Published,3,sapling,,f65bd1a8-7720-4d7b-942c-ce8e2132b365,exploratory,"[""governance"", ""lc:sapling"", ""linked"", ""milestones"", ""project"", ""qwrk"", ""sapling"", ""weekly-report""]",61e848ab-f960-42a3-a886-29b39f837b13,2025-12-31 23:45:47.255993+00,2026-03-03 20:59:48.266397+00
60a7d43e-b52a-4c59-abd1-642b786a984c,project,Disclosure + NDA Policy (Public-Safe vs Private),1,sapling,,02d3ff65-c86b-4c00-af32-209cb21134eb,governance,"[""disclosure"", ""governance"", ""lc:sapling"", ""linked"", ""nda"", ""p:critical"", ""project"", ""qwrk"", ""sapling""]",61e848ab-f960-42a3-a886-29b39f837b13,2025-12-31 23:45:47.255993+00,2026-03-07 13:03:43.677946+00
