"artifact_id","artifact_type","title","priority","lifecycle_status","execution_status","semantic_type_id","semantic_type","tags","parent_artifact_id","created_at","updated_at"
"ac1d6294-2bd7-4a9d-823e-827562b56e26","restart","Kernel Restart Record","3",,,"e83c208f-77b0-4527-816a-c2837ea49445","execution-core","[""restart""]","306e3258-d882-4ef4-8439-d76ea696a6f1","2025-12-30 20:53:12.755954+00","2026-04-01 18:55:16.097484+00"
"610e16d1-c5bb-468c-bd35-57eadf9f2e38","snapshot","Gateway v1 â€” Query Guards + TYPE_MISMATCH (KGB Pass)","3",,,"e83c208f-77b0-4527-816a-c2837ea49445","execution-core","[""auto:gateway"", ""auto:kgb"", ""snapshot""]","8a8a5066-213b-4334-ae14-5f8437e3d677","2025-12-30 22:53:54.120984+00","2026-03-26 12:38:32.757403+00"
"f748b187-670a-4fbe-9f12-a181be14973d","forest","Business","5",,,,,"[""forest"", ""p:backlog""]",,"2025-12-31 11:20:09.449229+00","2026-01-31 16:55:21.411792+00"
"d00d09d3-9492-4db0-93a4-1c9900b2aecc","forest","Work","5",,,,,"[""forest"", ""has-children"", ""p:backlog""]",,"2025-12-31 11:20:09.449229+00","2026-01-31 16:55:21.411792+00"
"84ccd9aa-c123-4747-968d-9262fa56ec65","thicket","Core Build Cycle","4",,,,,"[""has-children"", ""linked"", ""p:low"", ""thicket""]",,"2025-12-31 11:20:09.449229+00","2026-03-07 13:16:05.681245+00"
"e8e5db75-724a-4d33-9694-5903a6e30e8f","forest","Qwrk","5",,,,,"[""forest"", ""has-children"", ""p:backlog""]",,"2025-12-31 11:20:09.449229+00","2026-01-31 16:55:21.411792+00"
"9635090f-1853-4617-b077-2c28cd483780","forest","Personal","5",,,,,"[""forest"", ""has-children"", ""p:backlog""]",,"2025-12-31 11:20:09.449229+00","2026-01-31 16:55:21.411792+00"
"051eeb24-c5b0-49eb-922a-d66af4ead656","snapshot","Snapshot â€” Behavioral Controls + Qwrkflows (QF) Design Locks â€” 2026-01-01","4",,,"02d3ff65-c86b-4c00-af32-209cb21134eb","governance","[""access-control"", ""approvals"", ""behavioral-controls"", ""build-mode"", ""core"", ""explainability"", ""kgb"", ""linked"", ""modes"", ""p:low"", ""pre-personality"", ""qf"", ""qwrkflows"", ""qxb"", ""resume"", ""runner"", ""snapshot"", ""typed-steps""]","668bd18f-4424-41e6-b2f9-393ecd2ec534","2026-01-01 12:59:05.796197+00","2026-03-07 13:02:48.625403+00"
"153e6196-cb36-46cf-aaf6-896ad6a5e953","snapshot","Snapshot â€” Forest & Thicket Uniqueness Locked","2","locked",,"02d3ff65-c86b-4c00-af32-209cb21134eb","governance","[""p:high"", ""snapshot""]","8a8a5066-213b-4334-ae14-5f8437e3d677","2026-01-01 17:24:37.072826+00","2026-03-08 12:31:07.430802+00"
"404ae4a6-cb0e-4509-bacc-3ff21b311f15","thicket","LifeTamer","3",,,,,"[""has-children"", ""linked"", ""thicket""]",,"2026-01-01 17:25:48.694631+00","2026-03-07 13:16:05.681245+00"
