artifact_id,title,created_at,current_tags,suggested_category,tag_recommendation
d421c235-1295-4038-9c28-510501cd131f,"Governance Convention - Companion Journals for Project Seeds",2026-02-09,"governance, convention, companion, projects",governance,yes
bb74b837-85d0-4e6b-8e5c-d69919b0673f,"Gateway Snapshot Insert - Sanity",2026-02-08,"(none)",test,no
1a68cc0a-30d1-4b3f-893d-02777ac84a56,"Session Snapshot: CC_Inbox Cleanup + Governance Updates",2026-02-05,"session-snapshot, governance, cc-inbox",operational,maybe
1ee866ce-b3a3-4716-9a4c-93c013d0ec88,"Governance - Builder Phase Declaration (Pre-QPM)",2026-02-05,"governance, builder-phase, phase2",governance,yes
ea06c68f-d859-4015-8328-f9d02ab2cfff,"T10 Complete - Execution Surface Awareness Implemented",2026-02-04,"snapshot, governance, execution-surface, chrome-mvp",milestone,yes
c66dfae1-aed9-4b51-9c99-28101235d801,"Milestone - Chrome Extension Lifecycle Delete and Restore Fully Validated",2026-02-04,"milestone, chrome-extension, lifecycle, mvp",milestone,yes
57a84097-10c0-4398-954f-2654b72ed8eb,"Milestone - Chrome JSON Command Console MVP v1.1 Operational",2026-02-04,"milestone, chrome-extension, gateway, mvp",milestone,yes
f3939830-cb25-4536-b711-09367d8db802,"Test Snapshot - Regression Artifact ID",2026-02-03,"test, regression",test,no
0f67bd47-5774-40fc-ba7a-b3b9b0525fdf,"Decision - Remove instruction_pack Singleton Constraint",2026-02-03,"decision, governance, instruction-pack",decision,yes
64e73946-79a2-4c5e-9244-0b09a77550f7,"Milestone - Gateway_Telegram Hallucination Issue Resolved",2026-02-03,"milestone, gateway, bug019",milestone,yes
4907b779-c662-43aa-b32e-5ebe72be34e0,"TG Test Snapshot - Verification",2026-02-03,"test, verification",test,no
73a71e70-4627-4ac4-8f26-3630b0c7613e,"Gateway_Telegram Verification Enforcement - Hallucination Hard Block",2026-02-03,"governance, gateway, verification, bug019",duplicate,no
212336df-a4c1-41fd-8e66-3a5df2dd0c49,"Gateway_Telegram Verification Enforcement - Hallucination Hard Block",2026-02-03,"governance, gateway, verification, bug019",duplicate,no
f5e255fc-d8f0-475f-9961-5439d40f342a,"Decision - TG Verification Test Snapshot",2026-02-03,"test, decision",test,no
b4eb3e3e-83b4-40ff-86ec-8166eda1c931,"CC Prompt Formulation Guidelines Updated and Locked",2026-02-03,"governance, cc_guidelines",governance,yes
f6b75a78-6b0d-476f-98ba-e898d5e3a1b6,"Governance Decision - Idempotency and Intent Integrity",2026-02-02,"governance, decision, phase2",decision,yes
2f68e97d-7de9-4409-bbe1-9e5a6337d348,"Milestone - QPM Lifecycle Semantics Implemented (Phase 2)",2026-02-01,"milestone, governance, phase2, qpm",milestone,yes
6ec5d7ba-3b83-4088-b342-678690a4c3a6,"Phase 2 Execution Order - Open Work Prioritization",2026-02-01,"phase2, execution, governance",governance,yes
